IdProducto,NombreProducto,Precio,UnidadesVendidas,fechaventa
10100,Formula Chocolate,1870,25,01/01/2024
10101,Proteina Vainilla,1670,35,02/01/2024
10102,Te manzana,340,17,03/02/2024
10103,Te Chai,450,22,04/02/2024
10104,Ponche Frutas,570,45,05/03/2024
10105,Colageno,960,29,06/03/2024
10106,Fibra,700,17,07/03/2024
10107,Calcio,340,32,08/04/2024
10108,Liftoff,1300,40,09/04/2024
10109,Aloe Mandarina,610,320,10/04/2024
10110,Aloe Mandarina,610,380,11/05/2024
10111,Aloe Uva,610,420,12/05/2024
10112,Aloe Uva,610,320,13/06/2024
10113,Formula Galleta,1870,86,14/06/2024
10114,Formula Galleta,1870,99,15/07/2024
10115,Fibra,700,65,16/07/2024
10116,Calcio,340,34,17/07/2024
10117,Proteina Vainilla,1670,33,18/07/2024
10118,Formula Fresa,1870,200,19/08/2024
